	n	d	dxn	grid_acc	model_size	level
n	1.0	3.8695240382886844e-18	0.5787298416921947	-0.7011543709704129	1.6540145936529254e-16	-3.9506706177582876e-16
d	3.8695240382886844e-18	1.0	0.762456367878621	-0.2162368095321502	-3.605139429344953e-16	-8.542298575439933e-17
dxn	0.5787298416921947	0.762456367878621	1.0	-0.5621512693917546	9.613501177818398e-16	-3.6212887167449304e-16
grid_acc	-0.7011543709704129	-0.2162368095321502	-0.5621512693917546	1.0	0.24923083231705653	-0.1713513245632724
model_size	1.6540145936529254e-16	-3.605139429344953e-16	9.613501177818398e-16	0.24923083231705653	1.0	6.111361766745828e-17
level	-3.9506706177582876e-16	-8.542298575439933e-17	-3.6212887167449304e-16	-0.1713513245632724	6.111361766745828e-17	1.0
