n	d	dxn	grid_acc	model_size	level
6	7	42	0.2428571428571428	70	8
7	7	49	0.2099125364431487	70	8
2	1	2		70	9
3	1	3		70	9
4	1	4		70	9
5	1	5		70	9
6	1	6		70	9
7	1	7		70	9
2	2	4	0.85	70	9
3	2	6	0.5952380952380952	70	9
4	2	8	0.46875	70	9
5	2	10	0.55	70	9
6	2	12	0.3796296296296296	70	9
7	2	14	0.2714285714285714	70	9
2	3	6	0.95	70	9
3	3	9	0.5666666666666667	70	9
4	3	12	0.4166666666666667	70	9
5	3	15	0.3333333333333333	70	9
6	3	18	0.2388888888888888	70	9
7	3	21	0.2571428571428572	70	9
2	4	8	0.875	70	9
3	4	12	0.45	70	9
4	4	16	0.375	70	9
5	4	20	0.335	70	9
6	4	24	0.3101851851851852	70	9
7	4	28	0.2678571428571428	70	9
2	5	10	0.86	70	9
3	5	15	0.56	70	9
4	5	20	0.285	70	9
5	5	25	0.344	70	9
6	5	30	0.2466666666666666	70	9
7	5	35	0.2253968253968254	70	9
2	6	12	0.6833333333333332	70	9
3	6	18	0.55	70	9
4	6	24	0.3	70	9
5	6	30	0.2766666666666666	70	9
6	6	36	0.2407407407407407	70	9
7	6	42	0.1851851851851851	70	9
2	7	14	0.7428571428571429	70	9
3	7	21	0.5380952380952382	70	9
4	7	28	0.3095238095238095	70	9
5	7	35	0.2657142857142857	70	9
6	7	42	0.2095238095238095	70	9
7	7	49	0.1714285714285714	70	9
2	1	2		70	10
3	1	3		70	10
4	1	4		70	10
5	1	5		70	10
6	1	6		70	10
7	1	7		70	10
2	2	4		70	10
3	2	6		70	10
4	2	8		70	10
5	2	10		70	10
6	2	12		70	10
7	2	14		70	10
2	3	6		70	10
3	3	9	0.5925925925925926	70	10
4	3	12	0.425	70	10
5	3	15	0.2533333333333333	70	10
6	3	18	0.2333333333333333	70	10
7	3	21	0.2714285714285714	70	10
2	4	8		70	10
3	4	12	0.5666666666666667	70	10
4	4	16	0.375	70	10
5	4	20	0.32	70	10
6	4	24	0.35	70	10
7	4	28	0.2357142857142857	70	10
2	5	10		70	10
3	5	15	0.5466666666666666	70	10
4	5	20	0.2833333333333333	70	10
5	5	25	0.34	70	10
6	5	30	0.1766666666666666	70	10
7	5	35	0.1914285714285714	70	10
2	6	12		70	10
3	6	18	0.5111111111111111	70	10
4	6	24	0.4166666666666667	70	10
5	6	30	0.3	70	10
6	6	36	0.2469135802469136	70	10
7	6	42	0.1571428571428571	70	10
2	7	14		70	10
3	7	21	0.4952380952380952	70	10
4	7	28	0.35	70	10
5	7	35	0.2285714285714285	70	10
6	7	42	0.2354497354497354	70	10
7	7	49	0.1918367346938775	70	10
2	1	2		70	11
3	1	3		70	11
4	1	4		70	11
5	1	5		70	11
6	1	6		70	11
7	1	7		70	11
2	2	4		70	11
3	2	6		70	11
4	2	8		70	11
5	2	10		70	11
6	2	12		70	11
7	2	14		70	11
2	3	6		70	11
3	3	9	0.6333333333333333	70	11
4	3	12	0.3833333333333333	70	11
5	3	15	0.3933333333333333	70	11
6	3	18	0.2944444444444444	70	11
7	3	21	0.2857142857142857	70	11
2	4	8		70	11
3	4	12	0.65	70	11
4	4	16	0.4930555555555556	70	11
5	4	20	0.315	70	11
6	4	24	0.2416666666666666	70	11
7	4	28	0.2678571428571428	70	11
2	5	10		70	11
3	5	15	0.4266666666666667	70	11
4	5	20	0.3555555555555555	70	11
5	5	25	0.335	70	11
6	5	30	0.2533333333333333	70	11
7	5	35	0.24	70	11
2	6	12		70	11
3	6	18	0.5694444444444444	70	11
4	6	24	0.3625	70	11
5	6	30	0.2533333333333333	70	11
6	6	36	0.3194444444444444	70	11
7	6	42	0.2619047619047619	70	11
2	7	14		70	11
3	7	21	0.5095238095238095	70	11
4	7	28	0.3107142857142856	70	11
5	7	35	0.2857142857142857	70	11
6	7	42	0.2309523809523809	70	11
7	7	49	0.1224489795918367	70	11
2	1	2		70	12
3	1	3		70	12
4	1	4		70	12
5	1	5		70	12
6	1	6		70	12
7	1	7		70	12
2	2	4		70	12
3	2	6		70	12
4	2	8		70	12
5	2	10		70	12
6	2	12		70	12
7	2	14		70	12
2	3	6		70	12
3	3	9	0.5888888888888889	70	12
4	3	12	0.4166666666666667	70	12
5	3	15	0.2814814814814815	70	12
6	3	18	0.3	70	12
7	3	21	0.2	70	12
2	4	8		70	12
3	4	12	0.5499999999999999	70	12
4	4	16	0.35	70	12
5	4	20	0.31	70	12
6	4	24	0.2333333333333333	70	12
7	4	28	0.1928571428571428	70	12
2	5	10		70	12
3	5	15	0.4866666666666666	70	12
4	5	20	0.305	70	12
5	5	25	0.268	70	12
6	5	30	0.2666666666666666	70	12
7	5	35	0.2035714285714285	70	12
2	6	12		70	12
3	6	18	0.5388888888888889	70	12
4	6	24	0.3020833333333333	70	12
5	6	30	0.26	70	12
6	6	36	0.2006172839506173	70	12
7	6	42	0.1476190476190476	70	12
2	7	14		70	12
3	7	21	0.5380952380952382	70	12
4	7	28	0.3107142857142856	70	12
5	7	35	0.2514285714285714	70	12
6	7	42	0.2195767195767195	70	12
7	7	49	0.1224489795918367	70	12
2	1	2	0.85	8	1
3	1	3	0.5666666666666667	8	1
4	1	4	0.3888888888888889	8	1
5	1	5	0.4	8	1
6	1	6	0.1999999999999999	8	1
7	1	7	0.2857142857142857	8	1
2	2	4	0.53125	8	1
3	2	6	0.5	8	1
4	2	8	0.390625	8	1
5	2	10	0.1111111111111111	8	1
6	2	12	0.0625	8	1
7	2	14	0.0892857142857142	8	1
2	3	6	0.6666666666666666	8	1
3	3	9	0.4722222222222222	8	1
4	3	12	0.1666666666666666	8	1
5	3	15	0.25	8	1
6	3	18	0.1111111111111111	8	1
7	3	21	0.0857142857142857	8	1
2	4	8	0.5694444444444444	8	1
3	4	12	0.4047619047619047	8	1
4	4	16	0.34375	8	1
5	4	20	0.25	8	1
6	4	24	0.2333333333333333	8	1
7	4	28	0.175	8	1
2	5	10	0.65	8	1
3	5	15	0.474074074074074	8	1
4	5	20	0.225	8	1
5	5	25	0.252	8	1
6	5	30	0.23	8	1
7	5	35	0.1555555555555555	8	1
2	6	12	0.6666666666666666	8	1
3	6	18	0.4753086419753086	8	1
4	6	24	0.2731481481481481	8	1
5	6	30	0.1933333333333333	8	1
6	6	36	0.1666666666666666	8	1
7	6	42	0.1214285714285714	8	1
2	7	14	0.5793650793650793	8	1
3	7	21	0.4081632653061224	8	1
4	7	28	0.2571428571428572	8	1
5	7	35	0.2342857142857142	8	1
6	7	42	0.1547619047619047	8	1
7	7	49	0.1632653061224489	8	1
2	1	2		8	2
3	1	3	0.4666666666666666	8	2
4	1	4	0.275	8	2
5	1	5	0.4666666666666667	8	2
6	1	6	0.1666666666666666	8	2
7	1	7	0.2714285714285714	8	2
2	2	4		8	2
3	2	6	0.4074074074074074	8	2
4	2	8	0.275	8	2
5	2	10	0.1	8	2
6	2	12	0.1071428571428571	8	2
7	2	14	0.0714285714285714	8	2
2	3	6		8	2
3	3	9	0.3194444444444444	8	2
4	3	12	0.3645833333333333	8	2
5	3	15	0.1888888888888889	8	2
6	3	18	0.1419753086419753	8	2
7	3	21	0.1904761904761904	8	2
2	4	8		8	2
3	4	12	0.4074074074074074	8	2
4	4	16	0.2767857142857143	8	2
5	4	20	0.2055555555555555	8	2
6	4	24	0.1342592592592592	8	2
7	4	28	0.1464285714285714	8	2
2	5	10		8	2
3	5	15	0.3555555555555555	8	2
4	5	20	0.2666666666666666	8	2
5	5	25	0.19	8	2
6	5	30	0.18	8	2
7	5	35	0.1571428571428571	8	2
2	6	12		8	2
3	6	18	0.4055555555555555	8	2
4	6	24	0.234375	8	2
5	6	30	0.2703703703703703	8	2
6	6	36	0.2138888888888889	8	2
7	6	42	0.1428571428571428	8	2
2	7	14		8	2
3	7	21	0.3809523809523809	8	2
4	7	28	0.2321428571428571	8	2
5	7	35	0.2	8	2
6	7	42	0.2195767195767195	8	2
7	7	49	0.1673469387755101	8	2
2	1	2	0.4	8	3
3	1	3	0.3333333333333333	8	3
4	1	4	0.2222222222222222	8	3
5	1	5	0.1777777777777777	8	3
6	1	6	0.0555555555555555	8	3
7	1	7	0.1428571428571428	8	3
2	2	4	0.65	8	3
3	2	6	0.2222222222222222	8	3
4	2	8	0.2125	8	3
5	2	10	0.1699999999999999	8	3
6	2	12	0.1333333333333333	8	3
7	2	14	0.0555555555555555	8	3
2	3	6	0.7666666666666666	8	3
3	3	9	0.5972222222222222	8	3
4	3	12	0.2833333333333333	8	3
5	3	15	0.0857142857142857	8	3
6	3	18	0.191358024691358	8	3
7	3	21	0.1360544217687075	8	3
2	4	8	0.5277777777777778	8	3
3	4	12	0.4270833333333333	8	3
4	4	16	0.2847222222222222	8	3
5	4	20	0.1714285714285714	8	3
6	4	24	0.2083333333333333	8	3
7	4	28	0.1547619047619047	8	3
2	5	10	0.4375	8	3
3	5	15	0.3733333333333333	8	3
4	5	20	0.26	8	3
5	5	25	0.216	8	3
6	5	30	0.23	8	3
7	5	35	0.1457142857142857	8	3
2	6	12	0.4074074074074074	8	3
3	6	18	0.2916666666666667	8	3
4	6	24	0.2291666666666666	8	3
5	6	30	0.23	8	3
6	6	36	0.1861111111111111	8	3
7	6	42	0.1577380952380952	8	3
2	7	14	0.5285714285714286	8	3
3	7	21	0.3428571428571428	8	3
4	7	28	0.2392857142857143	8	3
5	7	35	0.2228571428571428	8	3
6	7	42	0.1833333333333333	8	3
7	7	49	0.1408163265306122	8	3
2	1	2	0.75	8	4
3	1	3	0.4666666666666666	8	4
4	1	4	0.225	8	4
5	1	5	0.3	8	4
6	1	6	0.0925925925925926	8	4
7	1	7	0.2285714285714286	8	4
2	2	4	0.7857142857142857	8	4
3	2	6	0.1666666666666666	8	4
4	2	8	0.1875	8	4
5	2	10	0.2	8	4
6	2	12	0.0833333333333333	8	4
7	2	14	0.0803571428571428	8	4
2	3	6	0.5555555555555556	8	4
3	3	9	0.3611111111111111	8	4
4	3	12	0.3425925925925925	8	4
5	3	15	0.2333333333333333	8	4
6	3	18	0.246031746031746	8	4
7	3	21	0.1785714285714285	8	4
2	4	8	0.675	8	4
3	4	12	0.3416666666666666	8	4
4	4	16	0.3203125	8	4
5	4	20	0.2444444444444444	8	4
6	4	24	0.2083333333333333	8	4
7	4	28	0.1746031746031746	8	4
2	5	10	0.5888888888888889	8	4
3	5	15	0.4066666666666666	8	4
4	5	20	0.335	8	4
5	5	25	0.3	8	4
6	5	30	0.1533333333333333	8	4
7	5	35	0.1785714285714285	8	4
2	6	12	0.5583333333333333	8	4
3	6	18	0.3555555555555555	8	4
4	6	24	0.2791666666666667	8	4
5	6	30	0.24	8	4
6	6	36	0.2037037037037037	8	4
7	6	42	0.1619047619047619	8	4
2	7	14	0.5	8	4
3	7	21	0.4285714285714285	8	4
4	7	28	0.2464285714285714	8	4
5	7	35	0.2314285714285714	8	4
6	7	42	0.1952380952380952	8	4
7	7	49	0.1814058956916099	8	4
2	1	2	0.7	8	5
3	1	3	0.5666666666666667	8	5
4	1	4	0.2857142857142857	8	5
5	1	5	0.3142857142857143	8	5
6	1	6	0.3166666666666666	8	5
7	1	7	0.0634920634920634	8	5
2	2	4	0.6944444444444444	8	5
3	2	6	0.3333333333333333	8	5
4	2	8	0.3125	8	5
5	2	10	0.0699999999999999	8	5
6	2	12	0.1071428571428571	8	5
7	2	14	0.0510204081632653	8	5
2	3	6	0.5833333333333334	8	5
3	3	9	0.4333333333333333	8	5
4	3	12	0.2738095238095238	8	5
5	3	15	0.2666666666666666	8	5
6	3	18	0.2063492063492063	8	5
7	3	21	0.1785714285714285	8	5
2	4	8	0.6944444444444444	8	5
3	4	12	0.4537037037037037	8	5
4	4	16	0.2109375	8	5
5	4	20	0.2777777777777778	8	5
6	4	24	0.21875	8	5
7	4	28	0.2142857142857142	8	5
2	5	10	0.64	8	5
3	5	15	0.4	8	5
4	5	20	0.2444444444444444	8	5
5	5	25	0.244	8	5
6	5	30	0.1629629629629629	8	5
7	5	35	0.1485714285714285	8	5
2	6	12	0.65	8	5
3	6	18	0.4382716049382716	8	5
4	6	24	0.2791666666666667	8	5
5	6	30	0.23	8	5
6	6	36	0.2006172839506173	8	5
7	6	42	0.1719576719576719	8	5
2	7	14	0.6928571428571428	8	5
3	7	21	0.3511904761904761	8	5
4	7	28	0.2821428571428571	8	5
5	7	35	0.2085714285714285	8	5
6	7	42	0.1613756613756613	8	5
7	7	49	0.1383219954648526	8	5
2	1	2		8	6
3	1	3		8	6
4	1	4		8	6
5	1	5		8	6
6	1	6		8	6
7	1	7		8	6
2	2	4	0.575	8	6
3	2	6	0.3833333333333333	8	6
4	2	8	0.3055555555555556	8	6
5	2	10	0.2111111111111111	8	6
6	2	12	0.0833333333333333	8	6
7	2	14	0.0357142857142857	8	6
2	3	6	0.7166666666666667	8	6
3	3	9	0.3555555555555555	8	6
4	3	12	0.2291666666666666	8	6
5	3	15	0.219047619047619	8	6
6	3	18	0.2333333333333333	8	6
7	3	21	0.2	8	6
2	4	8	0.675	8	6
3	4	12	0.4444444444444444	8	6
4	4	16	0.2265625	8	6
5	4	20	0.205	8	6
6	4	24	0.1759259259259259	8	6
7	4	28	0.1836734693877551	8	6
2	5	10	0.5599999999999999	8	6
3	5	15	0.3333333333333333	8	6
4	5	20	0.3166666666666666	8	6
5	5	25	0.2319999999999999	8	6
6	5	30	0.2333333333333333	8	6
7	5	35	0.1642857142857142	8	6
2	6	12	0.5916666666666667	8	6
3	6	18	0.4222222222222222	8	6
4	6	24	0.2791666666666667	8	6
5	6	30	0.2366666666666666	8	6
6	6	36	0.1626984126984126	8	6
7	6	42	0.1547619047619047	8	6
2	7	14	0.4714285714285714	8	6
3	7	21	0.3862433862433862	8	6
4	7	28	0.2785714285714286	8	6
5	7	35	0.2114285714285714	8	6
6	7	42	0.169047619047619	8	6
7	7	49	0.1545189504373177	8	6
2	1	2		8	7
3	1	3	0.3333333333333333	8	7
4	1	4	0.4285714285714285	8	7
5	1	5	0.1777777777777777	8	7
6	1	6	0.074074074074074	8	7
7	1	7	0.1269841269841269	8	7
2	2	4		8	7
3	2	6	0.7142857142857143	8	7
4	2	8	0.1111111111111111	8	7
5	2	10	0.1714285714285714	8	7
6	2	12	0.0208333333333333	8	7
7	2	14	0.1428571428571428	8	7
2	3	6		8	7
3	3	9	0.5	8	7
4	3	12	0.25	8	7
5	3	15	0.2833333333333333	8	7
6	3	18	0.1111111111111111	8	7
7	3	21	0.1836734693877551	8	7
2	4	8		8	7
3	4	12	0.3981481481481481	8	7
4	4	16	0.1597222222222222	8	7
5	4	20	0.2357142857142857	8	7
6	4	24	0.2083333333333333	8	7
7	4	28	0.1944444444444444	8	7
2	5	10		8	7
3	5	15	0.4066666666666666	8	7
4	5	20	0.2625	8	7
5	5	25	0.2	8	7
6	5	30	0.1555555555555555	8	7
7	5	35	0.1183673469387755	8	7
2	6	12		8	7
3	6	18	0.3888888888888889	8	7
4	6	24	0.3916666666666666	8	7
5	6	30	0.2629629629629629	8	7
6	6	36	0.1944444444444444	8	7
7	6	42	0.1517857142857142	8	7
2	7	14		8	7
3	7	21	0.3761904761904762	8	7
4	7	28	0.275	8	7
5	7	35	0.2314285714285714	8	7
6	7	42	0.1952380952380952	8	7
7	7	49	0.1301020408163265	8	7
2	1	2	0.7142857142857143	8	8
3	1	3	0.3333333333333333	8	8
4	1	4	0.35	8	8
5	1	5	0.1111111111111111	8	8
6	1	6	0.0999999999999999	8	8
7	1	7	0.1428571428571428	8	8
2	2	4	0.7777777777777778	8	8
3	2	6	0.1999999999999999	8	8
4	2	8	0.2291666666666666	8	8
5	2	10	0.1875	8	8
6	2	12	0.09375	8	8
7	2	14	0.0	8	8
2	3	6	0.7333333333333334	8	8
3	3	9	0.4285714285714286	8	8
4	3	12	0.2261904761904762	8	8
5	3	15	0.1555555555555555	8	8
6	3	18	0.2222222222222222	8	8
7	3	21	0.1428571428571428	8	8
2	4	8	0.7222222222222222	8	8
3	4	12	0.4166666666666667	8	8
4	4	16	0.30625	8	8
5	4	20	0.255	8	8
6	4	24	0.1964285714285714	8	8
7	4	28	0.1836734693877551	8	8
2	5	10	0.4875	8	8
3	5	15	0.4	8	8
4	5	20	0.32	8	8
5	5	25	0.188	8	8
6	5	30	0.1925925925925926	8	8
7	5	35	0.1714285714285714	8	8
2	6	12	0.6296296296296297	8	8
3	6	18	0.4333333333333333	8	8
4	6	24	0.3041666666666666	8	8
5	6	30	0.2148148148148148	8	8
6	6	36	0.1666666666666666	8	8
7	6	42	0.1380952380952381	8	8
2	7	14	0.6142857142857142	8	8
3	7	21	0.3857142857142857	8	8
4	7	28	0.2392857142857143	8	8
5	7	35	0.1914285714285714	8	8
6	7	42	0.2083333333333333	8	8
7	7	49	0.1122448979591836	8	8
2	1	2		8	9
3	1	3		8	9
4	1	4		8	9
5	1	5		8	9
6	1	6		8	9
7	1	7		8	9
2	2	4	0.5	8	9
3	2	6	0.2916666666666667	8	9
4	2	8	0.2916666666666667	8	9
5	2	10	0.1571428571428571	8	9
6	2	12	0.0	8	9
7	2	14	0.0306122448979591	8	9
2	3	6	0.7333333333333334	8	9
3	3	9	0.3148148148148148	8	9
4	3	12	0.2916666666666667	8	9
5	3	15	0.2296296296296296	8	9
6	3	18	0.074074074074074	8	9
7	3	21	0.1428571428571428	8	9
2	4	8	0.6875	8	9
3	4	12	0.3425925925925925	8	9
4	4	16	0.275	8	9
5	4	20	0.2388888888888888	8	9
6	4	24	0.1822916666666666	8	9
7	4	28	0.1428571428571428	8	9
2	5	10	0.5700000000000001	8	9
3	5	15	0.3333333333333333	8	9
4	5	20	0.2222222222222222	8	9
5	5	25	0.184	8	9
6	5	30	0.1791666666666666	8	9
7	5	35	0.1428571428571428	8	9
2	6	12	0.5370370370370371	8	9
3	6	18	0.4555555555555555	8	9
4	6	24	0.25	8	9
5	6	30	0.1703703703703703	8	9
6	6	36	0.1611111111111111	8	9
7	6	42	0.1481481481481481	8	9
2	7	14	0.45	8	9
3	7	21	0.3756613756613757	8	9
4	7	28	0.2321428571428571	8	9
5	7	35	0.1928571428571428	8	9
6	7	42	0.1851851851851851	8	9
7	7	49	0.1326530612244898	8	9
2	1	2		8	10
3	1	3		8	10
4	1	4		8	10
5	1	5		8	10
6	1	6		8	10
7	1	7		8	10
2	2	4		8	10
3	2	6		8	10
4	2	8		8	10
5	2	10		8	10
6	2	12		8	10
7	2	14		8	10
2	3	6		8	10
3	3	9	0.4074074074074074	8	10
4	3	12	0.1851851851851852	8	10
5	3	15	0.1619047619047618	8	10
6	3	18	0.2962962962962963	8	10
7	3	21	0.1785714285714285	8	10
2	4	8		8	10
3	4	12	0.25	8	10
4	4	16	0.2777777777777778	8	10
5	4	20	0.2125	8	10
6	4	24	0.2222222222222222	8	10
7	4	28	0.1785714285714285	8	10
2	5	10		8	10
3	5	15	0.2833333333333333	8	10
4	5	20	0.32	8	10
5	5	25	0.3	8	10
6	5	30	0.1416666666666666	8	10
7	5	35	0.1392857142857143	8	10
2	6	12		8	10
3	6	18	0.3777777777777777	8	10
4	6	24	0.2291666666666666	8	10
5	6	30	0.18	8	10
6	6	36	0.1882716049382716	8	10
7	6	42	0.1428571428571428	8	10
2	7	14		8	10
3	7	21	0.4497354497354497	8	10
4	7	28	0.2976190476190476	8	10
5	7	35	0.2428571428571428	8	10
6	7	42	0.1547619047619047	8	10
7	7	49	0.1768707482993197	8	10
2	1	2		8	11
3	1	3		8	11
4	1	4		8	11
5	1	5		8	11
6	1	6		8	11
7	1	7		8	11
2	2	4		8	11
3	2	6		8	11
4	2	8		8	11
5	2	10		8	11
6	2	12		8	11
7	2	14		8	11
2	3	6		8	11
3	3	9	0.2777777777777778	8	11
4	3	12	0.2129629629629629	8	11
5	3	15	0.2380952380952381	8	11
6	3	18	0.2314814814814815	8	11
7	3	21	0.1587301587301587	8	11
2	4	8		8	11
3	4	12	0.4166666666666667	8	11
4	4	16	0.31875	8	11
5	4	20	0.2944444444444444	8	11
6	4	24	0.1708333333333333	8	11
7	4	28	0.1130952380952381	8	11
2	5	10		8	11
3	5	15	0.3851851851851852	8	11
4	5	20	0.2166666666666666	8	11
5	5	25	0.3028571428571428	8	11
6	5	30	0.2277777777777777	8	11
7	5	35	0.16	8	11
2	6	12		8	11
3	6	18	0.4055555555555555	8	11
4	6	24	0.3	8	11
5	6	30	0.1666666666666666	8	11
6	6	36	0.2388888888888888	8	11
7	6	42	0.1619047619047619	8	11
2	7	14		8	11
3	7	21	0.3666666666666667	8	11
4	7	28	0.2678571428571428	8	11
5	7	35	0.2071428571428571	8	11
6	7	42	0.2301587301587301	8	11
7	7	49	0.1479591836734693	8	11
2	1	2		8	12
3	1	3		8	12
4	1	4		8	12
5	1	5		8	12
6	1	6		8	12
7	1	7		8	12
2	2	4		8	12
3	2	6		8	12
4	2	8		8	12
5	2	10		8	12
6	2	12		8	12
7	2	14		8	12
2	3	6		8	12
3	3	9	0.3809523809523809	8	12
4	3	12	0.25	8	12
5	3	15	0.1583333333333333	8	12
6	3	18	0.1825396825396825	8	12
7	3	21	0.0714285714285714	8	12
2	4	8		8	12
3	4	12	0.4047619047619047	8	12
4	4	16	0.2625	8	12
5	4	20	0.2722222222222222	8	12
6	4	24	0.171875	8	12
7	4	28	0.0857142857142857	8	12
2	5	10		8	12
3	5	15	0.437037037037037	8	12
4	5	20	0.25	8	12
5	5	25	0.268	8	12
6	5	30	0.15	8	12
7	5	35	0.0897959183673469	8	12
2	6	12		8	12
3	6	18	0.3333333333333333	8	12
4	6	24	0.2791666666666667	8	12
5	6	30	0.2259259259259259	8	12
6	6	36	0.2256944444444444	8	12
7	6	42	0.1587301587301587	8	12
2	7	14		8	12
3	7	21	0.4761904761904761	8	12
4	7	28	0.2678571428571428	8	12
5	7	35	0.16	8	12
6	7	42	0.2047619047619047	8	12
7	7	49	0.0884353741496598	8	12
2	1	2	1.0	7	1
3	1	3	0.6666666666666666	7	1
4	1	4	0.4285714285714285	7	1
5	1	5	0.2	7	1
6	1	6	0.25	7	1
7	1	7	0.125	7	1
2	2	4	0.3333333333333333	7	1
3	2	6	0.3333333333333333	7	1
4	2	8	0.125	7	1
5	2	10	0.1333333333333333	7	1
6	2	12	0.1111111111111111	7	1
7	2	14	0.1142857142857143	7	1
2	3	6	0.9	7	1
3	3	9	0.2222222222222222	7	1
4	3	12	0.25	7	1
5	3	15	0.1222222222222222	7	1
6	3	18	0.1111111111111111	7	1
7	3	21	0.1156462585034013	7	1
2	4	8	0.4285714285714285	7	1
3	4	12	0.2708333333333333	7	1
4	4	16	0.21875	7	1
5	4	20	0.1125	7	1
6	4	24	0.0520833333333333	7	1
7	4	28	0.0928571428571428	7	1
2	5	10	0.3142857142857143	7	1
3	5	15	0.2	7	1
4	5	20	0.2214285714285714	7	1
5	5	25	0.1866666666666666	7	1
6	5	30	0.1222222222222222	7	1
7	5	35	0.2476190476190476	7	1
2	6	12	0.5238095238095238	7	1
3	6	18	0.2222222222222222	7	1
4	6	24	0.2083333333333333	7	1
5	6	30	0.1333333333333333	7	1
6	6	36	0.1851851851851852	7	1
7	6	42	0.0773809523809523	7	1
2	7	14	0.5	7	1
3	7	21	0.1904761904761904	7	1
4	7	28	0.1845238095238095	7	1
5	7	35	0.1619047619047619	7	1
6	7	42	0.1394557823129251	7	1
7	7	49	0.1326530612244898	7	1
2	1	2		7	2
3	1	3	0.25	7	2
4	1	4	0.25	7	2
5	1	5	0.2	7	2
6	1	6	0.125	7	2
7	1	7	0.2857142857142857	7	2
2	2	4		7	2
3	2	6	0.0952380952380952	7	2
4	2	8	0.2708333333333333	7	2
5	2	10	0.2	7	2
6	2	12	0.0499999999999999	7	2
7	2	14	0.119047619047619	7	2
2	3	6		7	2
3	3	9	0.2592592592592593	7	2
4	3	12	0.1805555555555555	7	2
5	3	15	0.1466666666666666	7	2
6	3	18	0.1481481481481481	7	2
7	3	21	0.0158730158730158	7	2
2	4	8		7	2
3	4	12	0.375	7	2
4	4	16	0.15625	7	2
5	4	20	0.1666666666666666	7	2
6	4	24	0.1666666666666666	7	2
7	4	28	0.1026785714285714	7	2
2	5	10		7	2
3	5	15	0.1777777777777777	7	2
4	5	20	0.26	7	2
5	5	25	0.144	7	2
6	5	30	0.0809523809523809	7	2
7	5	35	0.175	7	2
2	6	12		7	2
3	6	18	0.3222222222222222	7	2
4	6	24	0.1875	7	2
5	6	30	0.0	7	2
6	6	36	0.1111111111111111	7	2
7	6	42	0.115079365079365	7	2
2	7	14		7	2
3	7	21	0.2952380952380952	7	2
4	7	28	0.1309523809523809	7	2
5	7	35	0.1428571428571428	7	2
6	7	42	0.1369047619047619	7	2
7	7	49	0.0986394557823129	7	2
2	1	2	0.7142857142857143	7	3
3	1	3	0.2666666666666666	7	3
4	1	4	0.3333333333333333	7	3
5	1	5	0.3142857142857143	7	3
6	1	6	0.0833333333333333	7	3
7	1	7	0.1142857142857143	7	3
2	2	4	0.625	7	3
3	2	6	0.3	7	3
4	2	8	0.2	7	3
5	2	10	0.025	7	3
6	2	12	0.0833333333333333	7	3
7	2	14	0.0833333333333333	7	3
2	3	6	0.2083333333333333	7	3
3	3	9	0.2539682539682539	7	3
4	3	12	0.2083333333333333	7	3
5	3	15	0.2333333333333333	7	3
6	3	18	0.0555555555555555	7	3
7	3	21	0.0714285714285714	7	3
2	4	8	0.4166666666666667	7	3
3	4	12	0.25	7	3
4	4	16	0.2321428571428571	7	3
5	4	20	0.2	7	3
6	4	24	0.1583333333333333	7	3
7	4	28	0.1071428571428571	7	3
2	5	10	0.2777777777777778	7	3
3	5	15	0.3111111111111111	7	3
4	5	20	0.2416666666666666	7	3
5	5	25	0.096	7	3
6	5	30	0.0666666666666666	7	3
7	5	35	0.1	7	3
2	6	12	0.3541666666666667	7	3
3	6	18	0.2129629629629629	7	3
4	6	24	0.21875	7	3
5	6	30	0.0583333333333333	7	3
6	6	36	0.1157407407407407	7	3
7	6	42	0.1269841269841269	7	3
2	7	14	0.4285714285714285	7	3
3	7	21	0.2301587301587301	7	3
4	7	28	0.2182539682539682	7	3
5	7	35	0.1392857142857143	7	3
6	7	42	0.1020408163265306	7	3
7	7	49	0.0943877551020408	7	3
2	1	2	0.7777777777777778	7	4
3	1	3	0.3333333333333333	7	4
4	1	4	0.25	7	4
5	1	5	0.2857142857142857	7	4
6	1	6	0.2083333333333333	7	4
7	1	7	0.1071428571428571	7	4
2	2	4	0.65625	7	4
3	2	6	0.3958333333333333	7	4
4	2	8	0.1458333333333333	7	4
5	2	10	0.1666666666666666	7	4
6	2	12	0.2222222222222222	7	4
7	2	14	0.1904761904761904	7	4
2	3	6	0.5714285714285714	7	4
3	3	9	0.2777777777777778	7	4
4	3	12	0.4305555555555556	7	4
5	3	15	0.1833333333333333	7	4
6	3	18	0.1203703703703703	7	4
7	3	21	0.0476190476190476	7	4
2	4	8	0.35	7	4
3	4	12	0.2976190476190476	7	4
4	4	16	0.25	7	4
5	4	20	0.175	7	4
6	4	24	0.1944444444444444	7	4
7	4	28	0.0357142857142857	7	4
2	5	10	0.5166666666666667	7	4
3	5	15	0.2444444444444444	7	4
4	5	20	0.19	7	4
5	5	25	0.12	7	4
6	5	30	0.1285714285714286	7	4
7	5	35	0.0904761904761904	7	4
2	6	12	0.611111111111111	7	4
3	6	18	0.2129629629629629	7	4
4	6	24	0.125	7	4
5	6	30	0.0888888888888888	7	4
6	6	36	0.1055555555555555	7	4
7	6	42	0.1238095238095238	7	4
2	7	14	0.6071428571428571	7	4
3	7	21	0.3061224489795918	7	4
4	7	28	0.1904761904761904	7	4
5	7	35	0.15	7	4
6	7	42	0.1269841269841269	7	4
7	7	49	0.1275510204081632	7	4
2	1	2	0.7142857142857143	7	5
3	1	3	0.4444444444444444	7	5
4	1	4	0.25	7	5
